LookupCode,AccountName,ActivityCode,Description,WhoOwnerCode,FollowupStartDate,Association,Aging Status
141111T-01,1444 11th Street,CORR,ded amount,TAHNI1,3/22/2021,Policy - DOLI - PCAP028185-0121,Overdue
1441BEN-01,14415 Benefit HOA,RNWL,Renewal of  effective,ROBJO1,12/15/2021,Account - 14415 Benefit HOA,Overdue
1457DIC-01,14572 Dickens HOA,APOL,Added EQKC policy effective 7/1/2020,CANCR1,5/27/2021,Policy - EQKC - SSE83667-04,Overdue
1461BRO-01,1461 Broadway Condominium Association,CNPR,DON NOC eff 2/1/22,ABEDE1,1/17/2022,Policy - CPKG - CBP 2200000 00,Overdue
1480BUR-01,14806 Burbank Townhomes HOA,APOL,Added CPKG policy effective 6/20/2020,CANCR1,4/15/2021,Policy - CPKG - 6803D5634722042,Overdue
1480BUR-01,14806 Burbank Townhomes HOA,REVI,Review coverage limits for REN,CADJE1,4/20/2021,LOB - BOP  - 6803D5634721942,Overdue
1493DIC-01,14933 Dickens Street Condo HOA,RNWL,Renewal of  effective,ROBJO1,12/1/2021,Account - 14933 Dickens Street Condo HOA,Overdue
1500OCE-01,1500 Ocean HOA,RENR,Renewal of Commercial Umbrella effective 1/1/2021,CADJE1,1/8/2021,Policy - CUMB - USL00656920U-3676-9,Overdue
1500OCE-01,1500 Ocean HOA,RENR,Renewal of Directors & Officers Liability effective 1/1/2021,CADJE1,1/8/2021,Policy - DOLI - PCAP016211-0319,Overdue
1500OCE-01,1500 Ocean HOA,REVI,Review coverage limits for REN,CADJE1,8/3/2021,LOB - EQKC - XHO5008036 09,Overdue
15018TH-01,1501 8th Avenue TIC,CS24,CSR24 Agency Cert: 1501 8th Avenue TIC,ARRCA1,7/1/2021,Account - 1501 8th Avenue TIC,Overdue
15018TH-01,1501 8th Avenue TIC,CS24,CSR24 Agency Cert: 1501 8th Avenue TIC,ARRCA1,7/28/2021,Account - 1501 8th Avenue TIC,Overdue
153318T-01,1533 18th St. HOA,REQF,Request for Financials - 1533 18th St. HOA,GIALE1,11/26/2021,Account - 1533 18th St. HOA,Overdue
153318T-01,1533 18th St. HOA,RNWL,Renewal of  effective,AVEMI1,11/12/2021,Account - 1533 18th St. HOA,Overdue
1620ELM-02,1620-36 Elm Avenue Maintenance Corporation,APOL,Added CRIM policy effective 7/1/2021,TAHNI1,6/13/2021,Policy - CRIM - 4121011331883Y,Overdue
1629ARM-01,1629 Armacost HOA,APOL,Added CPKG policy effective 5/30/2021,ASACR1,7/2/2021,Policy - CPKG - 680-5E266898-21-42,Overdue
16ROESE-01,16 Roeser Place Community Association Inc.,RPOL,Package Policy Here?,ARRCA1,12/7/2021,Account - 16 Roeser Place Community Association Inc.,Overdue
1700GOU-01,1700 Gough St HOA,RPOL,EQ Policy Here?,ARRCA1,12/28/2021,Account - 1700 Gough St HOA,Overdue
1700PIE-01,1700 Pierce Street LLC,REVI,Review coverage limits for REN,ARRCA1,1/15/2022,Policy - CPKG - 630-8K079147-20-14-G,Overdue
17WESTC-01,17 West Community Assoc,CPOL,Cancelled policy/line Placed with DB Insurance Eff: 1/31/2022,ROBJO1,1/3/2022,Policy - CPKG - 6803P7738472142,Overdue
17WESTC-01,17 West Community Assoc,REQF,Request for Financials - 17 West Community Assoc,GIALE1,11/19/2021,Account - 17 West Community Assoc,Overdue
17WESTM-01,17 West Master Association,REQF,Request for Financials - 17 West Master Association,GIALE1,11/19/2021,Account - 17 West Master Association,Overdue
1800OCO-01,1800 Ocotillo Condo Assn Inc,CALU,need end to delete tria/send all to ins when it comes in,SMIJO1,7/14/2021,Policy - CPKG - PHPK2125999,Overdue
1805PIN-01,1805 Pine Street HOA,CS24,CSR24 Agency Cert: Canyon Pacific Management,ARRCA1,7/28/2021,Account - 1805 Pine Street HOA,Overdue
1805PIN-01,1805 Pine Street HOA,RPOL,Package Policy Here?,ARRCA1,8/25/2021,Account - 1805 Pine Street HOA,Overdue
1862HAT-01,18620 Hatteras St HOA,*QTE,Create and Attach Quote - [CARRIER] / [LINE],LINBR1,12/8/2021,Account - 18620 Hatteras St HOA,Overdue
1862HAT-01,18620 Hatteras St HOA,ADOP,Add Opportunity,LINBR1,12/11/2021,Opportunities,Overdue
1877GRE-01,1877-1879 Green Street HOA,REQF,Request for Financials - 1877-1879 Green Street HOA,GIALE1,1/17/2022,Account - 1877-1879 Green Street HOA,Overdue
1902HAV-01,1902 Havemeyer Lane,APOL,Added CPKG policy effective 6/10/2021,TAHNI1,6/6/2021,Policy - CPKG - CAU521149-1,Overdue
1902HAV-01,1902 Havemeyer Lane,APOL,Added DOLI policy effective 6/10/2021,TAHNI1,6/6/2021,Policy - DOLI - PCAP029229-0121,Overdue
1914COR-01,1914 Corinth Avenue HOA,REQF,Request for Financials - 1914 Corinth Avenue HOA,GIALE1,1/17/2022,Account - 1914 Corinth Avenue HOA,Overdue
1914COR-01,1914 Corinth Avenue HOA,RNWL,Renewal of  effective,ROBJO1,1/8/2022,Account - 1914 Corinth Avenue HOA,Overdue
19THSTR-02,19th Street HOA,RPOL,EQ Policy Here?,ARRCA1,12/28/2021,Account - 19th Street HOA,Overdue
2014MAR-01,2014 Market Street HOA,CS24,CSR24 Agency Cert: Alliance HOA Management,ARRCA1,6/24/2021,Account - 2014 Market Street HOA,Overdue
2018BRO-01,2018-2022 Broderick St Condos,REVI,Review coverage limits for REN,CADJE1,7/14/2021,Policy - CPKG - CAU501288-4,Overdue
2095PAR-01,20954 Parthenia Condo Assoc,APOL,Added WCOM policy effective 6/1/2020,CANCR1,4/25/2021,Policy - WCOM - WZY-D590112-02,Overdue
20TH&CA-01,20th & Campbell Condo Assoc,CLRC,Close/Reopen Claim,FISTI1,10/11/2021,Claim - Jun 23 2021 12:00AM - 9320,Overdue
2109CUR-01,2109 Curtis Ave. HOA,REQF,Request for Financials - 2109 Curtis Ave. HOA,GIALE1,12/23/2021,Account - 2109 Curtis Ave. HOA,Overdue
2109CUR-01,2109 Curtis Ave. HOA,RNWL,Renewal of  effective,ROBJO1,12/1/2021,Account - 2109 Curtis Ave. HOA,Overdue
2130MOU-02,2130 Mountain Boulevard HOA,CHGL,D&O,ASACR1,1/4/2022,Policy - CPKG - CAU515537-3,Overdue
2130MOU-02,2130 Mountain Boulevard HOA,REQF,Request for Financials - 2130 Mountain Boulevard HOA,GIALE1,10/27/2021,Account - 2130 Mountain Boulevard HOA,Overdue
2165BEA-01,2165 Beach Street Condo HOA,RNWL,Renewal of  effective,ROBJO1,1/15/2022,Account - 2165 Beach Street Condo HOA,Overdue
21STSTR-01,21st Street Estates Condo Assn,REQF,Request for Financials - 21st Street Estates Condo Assn,GIALE1,1/17/2022,Account - 21st Street Estates Condo Assn,Overdue
21STSTR-01,21st Street Estates Condo Assn,RNWL,Acct effective 3/1/2022,SMIJO1,12/1/2021,Policy - CPKG - PHPK2244201,Overdue
220VIEW-01,220 View Street HOA,INVC,220VIEW-01 - Invoice Generated,ABEDE1,1/18/2022,Account - 220 View Street HOA,Overdue
220VIEW-01,220 View Street HOA,REQF,Request for Financials - 220 View Street HOA,GIALE1,11/2/2021,Account - 220 View Street HOA,Overdue
2219CLA-01,2219 Clark Lane Condominiums,APOL,Added MOTE policy effective 9/25/2021,ASACR1,9/23/2021,Policy - MOTE - TBD,Overdue
2219CLA-01,2219 Clark Lane Condominiums,CPOL,Cancelled policy/line Cancel Eff: 9/25/2021,ASACR1,9/20/2021,Policy - MOTE - TBD,Overdue
2219CLA-01,2219 Clark Lane Condominiums,RENR,Renewal of Crime/Fidelity Bond effective 9/25/2020,CADJE1,8/14/2021,Policy - CRIM - 4120011111418Y,Overdue
2219CLA-01,2219 Clark Lane Condominiums,RENR,Renewal of Crime/Fidelity Bond effective 9/25/2021,ASACR1,9/21/2021,Policy - CRIM - 4121011111418Y,Overdue
22PORTS-01,22 @ Portside,CHGL,add lines midterm,GRAGE1,1/10/2021,Policy - CPKG - CAU515574-1-0,Overdue
22PORTS-01,22 @ Portside,RENR,Renewal of Property effective 12/13/2020,GRAGE1,12/12/2020,Policy - CPKG - CAU515574-1-1,Overdue
22PORTS-01,22 @ Portside,RENR,Renewal of Directors & Officers Liability effective 12/13/2020,GRAGE1,12/12/2020,Policy - DOLI - PCAP023299-0219,Overdue
22PORTS-01,22 @ Portside,RENR,Renewal of Worker's Compensation effective 12/13/2020,GRAGE1,12/12/2020,Policy - WCOM - 2020011143965Y,Overdue
22PORTS-01,22 @ Portside,REQF,Request for Financials - 22 @ Portside,GIALE1,10/29/2021,Account - 22 @ Portside,Overdue
2380HOM-01,2380 Homestead HOA,REQF,Request for Financials - 2380 Homestead HOA,GIALE1,11/23/2021,Account - 2380 Homestead HOA,Overdue
2621&26-01,2621 & 2625 6th Street HOA,CNPR,DON NOC eff 2/1/22,ABEDE1,1/17/2022,Policy - CPKG - CBP 2020171 01,Overdue
2621&26-01,2621 & 2625 6th Street HOA,REQF,Request for Financials - 2621 & 2625 6th Street HOA,GIALE1,10/15/2021,Account - 2621 & 2625 6th Street HOA,Overdue
2743GOU-01,2743 Gough Street HOA,REVI,Review coverage limits for REN,ARRCA1,1/15/2022,LOB - DOLI - PCAP003278-0318,Overdue
2774BAY-01,2774 Bayside Walk HOA,REVI,Review coverage limits for REN,CADJE1,10/6/2021,LOB - BOP  - 680-6D608703,Overdue
2999CAL-01,2999 California St. HOA,CALL,copy of sprinkler report here?,HYCLE1,9/14/2021,Account - 2999 California St. HOA,Overdue
29MOUNT-01,29 Mountain View,APOL,Added CPKG policy effective 8/1/2020,CANCR1,4/16/2021,Policy - CPKG - PAC3133021-01,Overdue
317HARR-01,317 Harriet Street Owners Assn,REVI,Review coverage limits for REN,ARRCA1,1/15/2022,LOB - CUMB - SUO00032271991-29708-3,Overdue
3243OCE-01,3243 Ocean Front Walk HOA,RENR,Renewal of Directors & Officers Liability effective 3/31/2021,CADJE1,4/20/2021,Policy - DOLI - 107419632,Overdue
3284SAN-01,3284 San Bruno Ave HOA,REVI,Review coverage limits for REN,CADJE1,9/1/2021,LOB - BOP  - 6808D0772621942,Overdue
33VANDE-01,33 Vandewater Owners Association,CS24,CSR24 Agency Cert: CANYON PACIFIC MANAGEMENT,ARRCA1,6/28/2021,Account - 33 Vandewater Owners Association,Overdue
3407SEL-01,3407 S El Camino Real Condos,REVI,Review coverage limits for REN,CADJE1,10/21/2021,LOB - BOP  - 6804G8509311942,Overdue
3530ELM-01,3530 Elm Avenue Inc.,ADOP,Add Opportunity,MILZA1,9/24/2021,Opportunities,Overdue
3530ELM-01,3530 Elm Avenue Inc.,APOL,Added EQKC policy effective 9/22/2021,MILZA1,9/24/2021,Policy - EQKC - TBD,Overdue
3530ELM-01,3530 Elm Avenue Inc.,APOL,Added EQKC policy effective 9/22/2021,MILZA1,9/29/2021,Policy - EQKC - EQ1600417,Overdue
3530ELM-01,3530 Elm Avenue Inc.,REVI,Review coverage limits for REN,CABAL1,4/1/2021,LOB - BOP  - CBP 1520796 05,Overdue
356443R-01,3564 43rd Street HOA,CHGL,add D&O,AVEMI1,12/19/2021,Policy - CPKG - 648736806,Overdue
37DEGRE-01,37 Degrees North HOA,REVI,Review coverage limits for REN,CADJE1,7/5/2021,LOB - BOP  - 680-9B684437,Overdue
3883SAN-01,3883 San Ramon HOA,CALL,Status for reports from missing units?,THIMA1,5/21/2021,Account - 3883 San Ramon HOA,Overdue
38NORTH-02,38 North Condominium Assoc,CALU,make sure TRV is cancelled flat,SMIJO1,5/19/2021,Policy - CPKG - 680-2J505147,Overdue
38NORTH-02,38 North Condominium Assoc,DREN,need pckg policy / send all to ins when it comes in,SMIJO1,5/26/2021,Policy - CPKG - SNI0005489-00,Overdue
3910ATT-01,3910 At The Beach HOA,RPOL,Pkg policy here?,ARRCA1,7/8/2021,Account - 3910 At The Beach HOA,Overdue
3RDSTRE-01,3rd Street Condominiums,REQF,Request for Financials - 3rd Street Condominiums,GIALE1,11/9/2021,Account - 3rd Street Condominiums,Overdue
401-FAI-01,401-403 Fairview Ave HOA,APOL,Added MOTE policy effective 1/16/2022,AVEMI1,1/15/2022,Policy - MOTE - ENROLLMENT ONLY,Overdue
425OCEA-03,425 Ocean Blvd,CS24,CSR24 Agency Cert: Paragon Equities,CADJE1,6/21/2021,Account - 425 Ocean Blvd,Overdue
490POST-01,490 Post Street Owners Association,REQF,Request for Financials - 490 Post Street Owners Assn,GIALE1,11/15/2021,Account - 490 Post Street Owners Association,Overdue
4THAVEN-02,4th Avenue 12 Condo Association,REQF,Request for Financials - 4th Avenue 12 Condo Association,GIALE1,12/30/2021,Account - 4th Avenue 12 Condo Association,Overdue
5252ORA-01,5252 Orange Avenue HOA,CNPR,PMA WC NOC eff 1/17,DNOC,1/17/2022,Policy - WCOM - 2021011131192Y,Overdue
525TOWN-02,525 Town Lake Condominium Association,*QTE,Philly D&O quote $1 000 000 & PMA Crime Quote $375 000,BRULE1,7/27/2021,Account - 525 Town Lake Condominium Association,Overdue
5315N18-01,5315 N 18th St HOA,RNWL,Package effective 3/11/2022,SMIJO1,12/1/2021,Policy - CPKG - 680-3E535653,Overdue
5315N18-01,5315 N 18th St HOA,RNWL,D&O effective 3/11/2022,SMIJO1,12/1/2021,Policy - DOLI - 618779789,Overdue
550WREG-01,550 West Regent Street Homeowners Association Inc.,ADOP,Add Opportunity,MILZA1,8/1/2021,Opportunities,Overdue
550WREG-01,550 West Regent Street Homeowners Association Inc.,APOL,Added CPKG policy effective 3/6/2021,MILZA1,3/6/2021,Policy - CPKG - IHG1001207-00,Overdue
550WREG-01,550 West Regent Street Homeowners Association Inc.,APOL,Added DOLI policy effective 3/6/2021,MILZA1,3/11/2021,Policy - DOLI - PCAP028013-0121,Overdue
550WREG-01,550 West Regent Street Homeowners Association Inc.,APOL,Added CRIM policy effective 3/6/2021,MILZA1,3/11/2021,Policy - CRIM - 4121010623389Y,Overdue
550WREG-01,550 West Regent Street Homeowners Association Inc.,APOL,Added CUMB policy effective 3/6/2021,MILZA1,3/11/2021,Policy - CUMB - USL00656920U-63793-1,Overdue
550WREG-01,550 West Regent Street Homeowners Association Inc.,APOL,Added WCOM policy effective 7/14/2021,MILZA1,8/1/2021,Policy - WCOM - 2021010623389Y,Overdue
550WREG-01,550 West Regent Street Homeowners Association Inc.,RNWL,Review for Renewal,CADJE1,1/6/2022,Account - 550 West Regent Street Homeowners Association Inc.,Overdue
555ESPL-01,555 Esplanade COA,RPOL,Pkg/EQ/Excess CR policy here?,ARRCA1,6/11/2021,Account - 555 Esplanade COA,Overdue
555FULT-01,555 Fulton Street Owners Association,CLRC,Close/Reopen Claim,FISTI1,1/4/2022,Claim - Sep 26 2021 12:00AM - 9939,Overdue
5906THS-01,590 6th Street O.A.,APOL,Added CPKG policy effective 9/4/2020,CANCR1,4/19/2021,Policy - CPKG - CBP1920243-1,Overdue
5906THS-01,590 6th Street O.A.,REVI,Review coverage limits for REN,CADJE1,6/4/2021,Policy - CPKG - CBP1920243-0,Overdue
5THSTRE-01,5th Street Condominium OA,REVI,Review coverage limits for REN,CADJE1,8/15/2021,LOB - WCOM - 202010936526Y,Overdue
601LIDO-01,601 Lido Homeowners Association,CLRC,Close/Reopen Claim,UNDAM1,1/17/2022,Claim - Oct 18 2021 12:00AM - 10069,Overdue
601STRE-01,601 S. Tremont,REQF,Request for Financials - 601 S. Tremont,GIALE1,10/29/2021,Account - 601 S. Tremont,Overdue
620SGRA-01,620 S. Gramercy Place HOA,APOL,Added WCOM policy effective 4/10/2019,ASACR1,8/1/2021,Policy - WCOM - EIG 1479580-07,Overdue
620SGRA-01,620 S. Gramercy Place HOA,CPOL,Cancelled policy/line Cancel Eff: 4/10/2020,ASACR1,7/29/2021,Policy - WCOM - EIG 1479580-07,Overdue
6242VIL-01,6242 Villa Woods Inc.,APOL,Added CRIM policy effective 8/28/2021,CADJE1,9/3/2021,Policy - CRIM - 4121010810697Y,Overdue
68MCCOP-01,68 McCoppin Street HOA,REVI,Review coverage limits for REN,CADJE1,7/1/2021,Policy - BOP  - 680-1R842403 - OLD,Overdue
695CENT-01,695 Center Street HOA,RPOL,CAU Pkg policy here?,ARRCA1,9/26/2021,Account - 695 Center Street HOA,Overdue
6HUGHES-01,The 6 Hughes Professional Center,RPOL,Crime Policy Here?,ARRCA1,1/14/2022,Account - The 6 Hughes Professional Center,Overdue
7000ELI-01,7000 E Lincoln Resort Community Parcel B,CLRC,Close/Reopen Claim,FISTI1,10/14/2021,Claim - Jul 26 2021 12:00AM - 9617,Overdue
7000ELI-01,7000 E Lincoln Resort Community Parcel B,REQF,Request for Financials - 7000 E Lincoln Resort Community Parcel B,GIALE1,11/3/2021,Account - 7000 E Lincoln Resort Community Parcel B,Overdue
7000ELI-01,7000 E Lincoln Resort Community Parcel B,RPOL,Package Policy Here?,PEUNA1,12/29/2021,Account - 7000 E Lincoln Resort Community Parcel B,Overdue
700SOUT-02,700 South Strand O.A.,RNWL,Renewal of  effective,ROBJO1,1/18/2022,Account - 700 South Strand O.A.,Overdue
710MARI-01,710 Marigold Condo Assoc,APOL,Added CPKG policy effective 6/4/2020,CANCR1,4/16/2021,Policy - CPKG - 6802586R6341942,Overdue
725SBAR-01,725 S. Barrington HOA,RPOL,Earthquake Policy Here?,ARRCA1,10/12/2021,Account - 725 S. Barrington HOA,Overdue
7640OSO-01,7640 Oso Homeowners Association,ADOP,Add Opportunity,TAHNI1,4/26/2021,Opportunities,Overdue
7640OSO-01,7640 Oso Homeowners Association,APOL,Added CPKG policy effective 5/20/2021,TAHNI1,5/15/2021,Policy - CPKG - CBP2120135-0 ,Overdue
7640OSO-01,7640 Oso Homeowners Association,APOL,Added DOLI policy effective 5/20/2021,TAHNI1,5/15/2021,Policy - DOLI -  PCAP028884-0121,Overdue
7640OSO-01,7640 Oso Homeowners Association,APOL,Added CRIM policy effective 5/20/2021,TAHNI1,5/15/2021,Policy - CRIM - 4121011326461Y,Overdue
7640OSO-01,7640 Oso Homeowners Association,APOL,Added WCOM policy effective 5/20/2021,TAHNI1,5/15/2021,Policy - WCOM - 2021011326461Y,Overdue
82317TH-01,823 17th St. HOA,@ADC,Address Applied to Other Items,LINBR1,12/14/2021,Account - 823 17th St. HOA,Overdue
82317TH-01,823 17th St. HOA,@ADC,Address Applied to Other Items,LINBR1,12/14/2021,Account - 823 17th St. HOA,Overdue
82317TH-01,823 17th St. HOA,@ADC,Address Applied to Other Items,LINBR1,12/14/2021,Account - 823 17th St. HOA,Overdue
82317TH-01,823 17th St. HOA,@ADC,Address Applied to Other Items,LINBR1,12/14/2021,Account - 823 17th St. HOA,Overdue
82317TH-01,823 17th St. HOA,ADOP,Add Opportunity,LINBR1,12/9/2021,Opportunities,Overdue
82317TH-01,823 17th St. HOA,APOL,Added CPKG policy effective 1/1/2022,LINBR1,12/17/2021,Policy - CPKG - TBD,Overdue
82317TH-01,823 17th St. HOA,APOL,Added DOLI policy effective 1/1/2022,LINBR1,12/17/2021,Policy - DOLI - TBD,Overdue
82317TH-01,823 17th St. HOA,APOL,Added CRIM policy effective 1/1/2022,LINBR1,12/17/2021,Policy - CRIM - TBD,Overdue
82317TH-01,823 17th St. HOA,DREW,Policy rewrite downloaded,HYCLE1,1/14/2022,Policy - CPKG - 6800T3410282242,Overdue
82317TH-01,823 17th St. HOA,DREW,Policy rewrite downloaded,HYCLE1,1/14/2022,Policy - CPKG - 6800T3410282242,Overdue
838PINE-01,838 Pine Community Associat.,INVC,838PINE-01 - Invoice Generated,TSUME1,1/18/2022,Account - 838 Pine Community Associat.,Overdue
838PINE-01,838 Pine Community Associat.,REQF,Request for Financials - 838 Pine Community Associat.,GIALE1,10/28/2021,Account - 838 Pine Community Associat.,Overdue
838PINE-01,838 Pine Community Associat.,REVI,Review coverage limits for REN,ANDAS1,10/8/2021,Policy - PROP - CBP1900008-0,Overdue
848PROS-01,848 Prospect Owners Association,APOL,Added CPKG policy effective 6/18/2020,CANCR1,4/16/2021,Policy - CPKG - 680-1143R9542042,Overdue
848PROS-01,848 Prospect Owners Association,APOL,Added CRIM policy effective 6/18/2021,ASACR1,7/29/2021,Policy - CRIM - 4121011091255Y,Overdue
848PROS-01,848 Prospect Owners Association,CPOL,Cancelled policy/line Cancel  Eff: 7/26/2021,ASACR1,7/26/2021,Policy - CRIM - 4121011091255Y,Overdue
874HAMM-01,874 Hammond Owners Assn.,CHGL,Auto,ASACR1,6/20/2021,Policy - CPKG - 6807B3820582142,Overdue
8EIGCOM-02,The 8eighty Community Association,*DIS,Create Disclosure Statement - The 8eighty Community Association,MAVMA1,10/25/2021,Account - The 8eighty Community Association,Overdue
8EIGCOM-02,The 8eighty Community Association,APOL,Added CPKG policy effective 9/17/2020,CANCR1,4/19/2021,Policy - CPKG - RDN000600800,Overdue
9000CYN-01,9000 Cynthia HOA INC.,REQF,Request for Financials - 9000 Cynthia HOA INC.,GIALE1,11/19/2021,"Account - 9000 Cynthia HOA,INC.",Overdue
900NORT-01,900 North Citrus HOA,APOL,Added CPKG policy effective 6/1/2020,CANCR1,4/12/2021,Policy - CPKG - 680-8B269705,Overdue
90TH&BE-01,90th & Bell LLC,CALL,need signed tria by 7/10,SMIJO1,6/21/2021,"Account - 90th & Bell, LLC",Overdue
91SANVI-01,91 San Victor Community Assn,RNWL,acct effective 4/8/2022,SMIJO1,1/1/2022,Policy - CPKG - SNI0005349-00,Overdue
9210PRO-01,9210X Property Management Corporation,ADOP,Add Opportunity,HYCLE1,1/10/2022,Opportunities,Overdue
924-EAV-01,924-928 E Avenue,CLRC,Close/Reopen Claim,FISTI1,1/5/2022,Claim - Mar 15 2021 12:00AM - 9898,Overdue
951OCEA-01,951 Ocean Community Assn,CALL,9-1 Renewal,LABCU1,7/1/2019,Account - 951 Ocean Community Assn,Overdue
999SIXT-02,999 Sixteenth Street Owners Association,APOL,Added CPKG policy effective 4/1/2021,MILZA1,4/2/2021,Policy - CPKG - CBP2120087 00,Overdue
999SIXT-02,999 Sixteenth Street Owners Association,APOL,Added DOLI policy effective 4/1/2021,MILZA1,4/2/2021,Policy - DOLI -  PCAP028357-0121,Overdue
999SIXT-02,999 Sixteenth Street Owners Association,APOL,Added CRIM policy effective 4/1/2021,MILZA1,4/2/2021,Policy - CRIM - 4121011317213Y,Overdue
999SIXT-02,999 Sixteenth Street Owners Association,APOL,Added WCOM policy effective 4/1/2021,MILZA1,4/3/2021,Policy - WCOM - 2021011317213Y,Overdue
